adc_id,adc_name,aliases,target,antibody,linker_name,linker_type,payload_name,payload_class,dar,indication,development_status,company,source_url,data_review_status,brand_name,approval_date,approval_jurisdictions,catalog_status,dar_reported,as_of_date,verification_status
adc_011,Enfortumab vedotin,Padcev|ASG-22CE,Nectin-4,Fully human IgG1,MC-Val-Cit-PABC,cleavable,MMAE,Microtubule inhibitor,3.8,Locally advanced or metastatic urothelial cancer,approved,Astellas / Seagen,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-enfortumab-vedotin-ejfv-locally-advanced-or-metastatic-urothelial,needs_review,Padcev,2019-12-18,FDA,marketed,3.8,2026-06-30,primary_check_pending
adc_012,Loncastuximab tesirine,Lonca|Zynlonta|ADCT-402,CD19,Humanized IgG1,Val-Cit-PABC,cleavable,PBD dimer,DNA-damaging agent,2.3,Relapsed or refractory large B-cell lymphoma,approved,ADC Therapeutics,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-loncastuximab-tesirine-lpy,needs_review,Zynlonta,2021-04-23,FDA,marketed,2.3,2026-06-30,primary_check_pending
adc_013,Tisotumab vedotin,Tivdak|HuMax-TF,TF,Humanized IgG1,MC-Val-Cit-PABC,cleavable,MMAE,Microtubule inhibitor,4.0,Recurrent or metastatic cervical cancer,approved,Seagen / Genmab,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-tisotumab-vedotin-tftv-recurrent-or-metastatic-cervical-cancer,needs_review,Tivdak,2021-09-20,FDA,marketed,4,2026-06-30,primary_check_pending
adc_014,Mirvetuximab soravtansine,Mirvetuximab|MIRV|Elahere,FRalpha,Fully human IgG1,Sulfo-SPDB,cleavable,DM4,Microtubule inhibitor,3.4,FRalpha-positive epithelial ovarian fallopian tube or primary peritoneal cancer,approved,ImmunoGen / AbbVie,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-mirvetuximab-soravtansine-gynx-advanced-epithelial-ovarian-fallopian,needs_review,Elahere,2022-11-14,FDA,marketed,3-4,2026-06-30,primary_check_pending
adc_015,Telisotuzumab vedotin,Teliso-V|Emrelis|ABBV-399,c-Met,Humanized IgG1,MC-Val-Cit-PABC,cleavable,MMAE,Microtubule inhibitor,3.1,Previously treated locally advanced or metastatic nonsquamous non-small-cell lung cancer,approved,AbbVie,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-telisotuzumab-vedotin-tllv-nsclc-high-c-met-protein-overexpression,needs_review,Emrelis,2025-05-14,FDA,marketed,2-4,2026-06-30,primary_check_pending
adc_016,Trastuzumab rezetecan,SHR-A1811|Aiweida,HER2,Humanized IgG1,GGFG peptide,cleavable,SHR9265,Topoisomerase I inhibitor,5.7,Previously treated HER2-mutant unresectable or metastatic non-small-cell lung cancer,approved,Hengrui Pharmaceuticals,https://www.nmpa.gov.cn/zhuanti/cxylqx/cxypxx/20250529142716124.html,needs_review,Aiweida,2025-05-29,NMPA,marketed,5.7,2026-06-30,primary_check_pending
adc_017,Trastuzumab botidotin,A-166|Shutailai,HER2,Humanized IgG1,Val-Cit,cleavable,Duostatin-5,Microtubule inhibitor,2.0,HER2-positive breast cancer,approved,Sichuan Kelun-Biotech,https://www.hkexnews.hk/listedco/listconews/sehk/2025/1020/2025102000155.pdf,needs_review,Shutailai,2025-10-17,NMPA,marketed,2,2026-06-30,primary_check_pending
adc_018,Becotatug vedotin,MRG003|Meiyouheng,EGFR,Humanized IgG1,Val-Cit,cleavable,MMAE,Microtubule inhibitor,4.0,Recurrent or metastatic nasopharyngeal carcinoma,approved,Lepu Biopharma,https://en.lepubiopharma.com/new/213.html,needs_review,Meiyouheng,2025-10-30,NMPA,marketed,3.8,2026-06-30,primary_check_pending
adc_019,Pivekimab sunirine,IMGN632|Decnupaz,CD123,Humanized IgG1,Ala-Ala,cleavable,DGN549,DNA-alkylating agent,2.0,Blastic plasmacytoid dendritic cell neoplasm,approved,AbbVie,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-pivekimab-sunirine-pvzy-blastic-plasmacytoid-dendritic-cell-neoplasm-ultra-rare,needs_review,Decnupaz,2026-05-27,FDA,marketed,2,2026-06-30,primary_check_pending
adc_020,Izalontamab brengitecan,IBI300|Yizekang,EGFR x HER3,Humanized bispecific IgG1,GGFG tetrapeptide,cleavable,Ed-04,Topoisomerase I inhibitor,8.0,Recurrent or metastatic nasopharyngeal carcinoma,approved,Sichuan Baili / SystImmune / Bristol Myers Squibb,https://www.prnewswire.com/news-releases/systimmune-announces-first-approval-of-iza-bren-for-the-treatment-of-recurrent-or-metastatic-nasopharyngeal-carcinoma-in-china-302806766.html,needs_review,Yizekang,2026-06-22,NMPA,marketed,8,2026-06-30,primary_check_pending
adc_021,Cetuximab sarotalocan,RM-1929|Akalux,EGFR,Chimeric IgG1,Photochemical linker,unknown,IRDye700DX,Photosensitizer,2.5,Unresectable head and neck cancer,approved,Rakuten Medical,https://www.pmda.go.jp/PmdaSearch/rdDetail/iyaku/4299406A1020_1?user=1,needs_review,Akalux,2020-09-25,PMDA,marketed,1.3-3.8,2026-06-30,primary_check_pending
adc_022,Belantamab mafodotin,Blenrep|GSK2857916,BCMA,Humanized IgG1,MC,non-cleavable,MMAF,Microtubule inhibitor,4.0,Relapsed or refractory multiple myeloma,approved,GlaxoSmithKline,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-approves-belantamab-mafodotin-blmf-relapsed-or-refractory-multiple-myeloma,needs_review,Blenrep,2025-10-23,FDA,marketed,4,2026-06-30,primary_check_pending
adc_023,Moxetumomab pasudotox,Lumoxiti|Moxetumomab|CAT-8015,CD22,Recombinant immunotoxin,,unknown,PE38,Protein synthesis inhibitor,,Relapsed or refractory hairy cell leukemia,discontinued,AstraZeneca,https://www.fda.gov/drugs/resources-information-approved-drugs/fda-grants-accelerated-approval-moxetumomab-pasudotox-tdfk-relapsed-or-refractory-hairy-cell-leukemia,needs_review,Lumoxiti,2018-09-13,FDA;EMA,withdrawn,,2026-06-30,primary_check_pending
